iri,label,type,Betweenness Centrality
dbr:Lisp_(programming_language),Lisp,ProgrammingLanguage,1.0000
dbr:C_(programming_language),C,ProgrammingLanguage,0.8977
dbr:Smalltalk,Smalltalk,ProgrammingLanguage,0.7009
dbr:C++,C++,ProgrammingLanguage,0.5976
dbr:Scheme_(programming_language),Scheme,ProgrammingLanguage,0.5520
dbr:Python_(programming_language),Python,ProgrammingLanguage,0.5032
dbr:Java_(programming_language),Java,ProgrammingLanguage,0.4473
dbr:C_Sharp_(programming_language),C Sharp,ProgrammingLanguage,0.4126
dbr:Pascal_(programming_language),Pascal,ProgrammingLanguage,0.3990
dbr:BASIC,BASIC,ProgrammingLanguage,0.3760
dbr:ALGOL_60,ALGOL 60,ProgrammingLanguage,0.3681
dbr:JavaScript,JavaScript,ProgrammingLanguage,0.3285
dbr:ALGOL,ALGOL,ProgrammingLanguage,0.3276
dbr:Perl,Perl,ProgrammingLanguage,0.2858
dbr:Fortran,Fortran,ProgrammingLanguage,0.2633
dbr:Logo_(programming_language),Logo,ProgrammingLanguage,0.2486
dbr:COBOL,COBOL,ProgrammingLanguage,0.2444
dbr:Wolfram_Language,Wolfram Language,ProgrammingLanguage,0.2409
dbr:Haskell_(programming_language),Haskell,ProgrammingLanguage,0.2223
dbr:Ruby_(programming_language),Ruby,ProgrammingLanguage,0.2188
dbr:QuickBASIC,dbr:QuickBASIC,ProgrammingLanguage,0.2155
dbr:PowerShell,PowerShell,ProgrammingLanguage,0.2140
dbr:FreeBASIC,FreeBASIC,ProgrammingLanguage,0.1989
dbr:Dartmouth_BASIC,Dartmouth BASIC,ProgrammingLanguage,0.1972
dbr:Haskell,Haskell,ProgrammingLanguage,0.1871
dbr:Prolog,Prolog,ProgrammingLanguage,0.1770
dbr:SQL,SQL,ProgrammingLanguage,0.1697
dbr:Gremlin_(query_language),Gremlin (query language),ProgrammingLanguage,0.1669
dbr:ALGOL_68,ALGOL 68,ProgrammingLanguage,0.1619
dbr:Scala_(programming_language),Scala,ProgrammingLanguage,0.1586
ns7:I,PL/I,ProgrammingLanguage,0.1567
dbr:Clojure,Clojure,ProgrammingLanguage,0.1524
dbr:ML_(programming_language),ML,ProgrammingLanguage,0.1485
dbr:Ada_(programming_language),Ada,ProgrammingLanguage,0.1464
dbr:CoffeeScript,CoffeeScript,ProgrammingLanguage,0.1419
dbr:Forth_(programming_language),Forth,ProgrammingLanguage,0.1360
dbr:Tcl,Tcl,ProgrammingLanguage,0.1336
dbr:Chapel_(programming_language),Chapel,ProgrammingLanguage,0.1257
dbr:Microsoft_Small_Basic,Microsoft Small Basic,ProgrammingLanguage,0.1228
dbr:Common_Lisp,Common Lisp,ProgrammingLanguage,0.1209
dbr:JOSS,JOSS,ProgrammingLanguage,0.1192
dbr:QBasic,QBasic,ProgrammingLanguage,0.1168
dbr:Ring_(programming_language),Ring,ProgrammingLanguage,0.1156
dbr:YAML,YAML,ProgrammingLanguage,0.1125
dbr:APL_(programming_language),APL,ProgrammingLanguage,0.1104
dbr:Julia_(programming_language),Julia,ProgrammingLanguage,0.1102
dbr:ECMAScript,ECMAScript,ProgrammingLanguage,0.1085
dbr:ALGOL_58,ALGOL 58,ProgrammingLanguage,0.1065
dbr:Sass_(stylesheet_language),Sass (stylesheet language),ProgrammingLanguage,0.0995
dbr:Simula,Simula,ProgrammingLanguage,0.0990
dbr:PHP,PHP,ProgrammingLanguage,0.0987
dbr:ECL_(data-centric_programming_language),ECL (data-centric programming language),ProgrammingLanguage,0.0964
dbr:Standard_ML,Standard ML,ProgrammingLanguage,0.0962
dbr:Modula-3,Modula-3,ProgrammingLanguage,0.0929
