Bytes,Composer,UnitPrice,Name,Milliseconds,Title
5510424,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",0.99,Balls to the Wall,342562,Balls to the Wall
10869391,"Steven Tyler, Tom Hamilton",0.99,Janie's Got A Gun,330736,Big Ones
12504234,KC Porter & JB Eckl,0.99,Primavera,378618,Supernatural
29008407,"Terry Bozzio, Steve Stevens, Tony Levin",0.99,The Sun Road,880640,[1997] Black Light Syndrome
17455568,"Terry Bozzio, Steve Stevens, Tony Levin",0.99,Chaos-Control,529841,[1997] Black Light Syndrome
12047978,Chris Robinson/Rich Robinson,0.99,Cursed Diamonds,368300,Live [Disc 1]
12227998,Chris Robinson/Rich Robinson,0.99,High Head Blues,371879,Live [Disc 2]
6786304,A.Isbell/A.Jones/O.Redding,0.99,Hard To Handle,206994,Live [Disc 2]
7883532,Joe Strummer/Mick Jones,0.99,(White Man) In Hammersmith Palais,240640,The Singles
9067323,Joe Strummer/Mick Jones,0.99,Bankrobber,272431,The Singles
7361500,The Clash,0.99,Rock The Casbah,222145,The Singles
9742361,Billy Duffy/Ian Astbury/Marti Frederiksen/Mick Jones,0.99,Breathe,299781,Beyond Good And Evil
9981359,Billy Duffy/Ian Astbury,0.99,True Believers,308009,Beyond Good And Evil
7935898,,0.99,Seis Da Tarde,238445,The Best of Ed Motta
8412167,,0.99,Love Removal Machine,257619,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]"
6889883,,0.99,Sweet Soul Sister,212009,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]"
4663988,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",0.99,I Looked At You,142080,The Doors
8227075,G M Sumner,0.99,"De Do Do Do, De Da Da Da",247196,The Police Greatest Hits
5855836,Jerry Ragavoy,0.99,Time Is On My Side,179983,"Hot Rocks, 1964-1971 (Disc 1)"
7371799,Jagger/Richards,0.99,Under My Thumb,221387,"Hot Rocks, 1964-1971 (Disc 1)"
10725160,Jagger/Richards,0.99,Saint Of Me,325694,No Security
7162159,Jagger/Richards,0.99,You Got Me Rocking,215928,Voodoo Lounge
8920566,Jagger/Richards,0.99,Suck On The Jugular,268225,Voodoo Lounge
11299407,The Tea Party,0.99,Sister Awake,343875,Tangents
11254474,Miles Davis,0.99,Compulsion,345025,The Essential Miles Davis [Disc 1]
9082773,The Tea Party,0.99,Life Line,277786,Tangents
9601786,The Tea Party,0.99,Babylon,292466,Transmission
4835202,John Entwistle,0.99,Boris The Spider,149472,My Generation - The Very Best Of The Who
8078418,Pete Townshend,0.99,Let's See Action,243513,My Generation - The Very Best Of The Who
5184891,Tim Maia,0.99,Música No Ar,158511,Serie Sem Limite (Disc 1)
3827629,Carlos Imperial/Edardo Araújo,0.99,Salve Nossa Senhora,115461,Serie Sem Limite (Disc 1)
7971147,Genival Cassiano,0.99,Você Fugiu,238367,Serie Sem Limite (Disc 1)
5631446,Tim Maia,0.99,Compadre,171389,Serie Sem Limite (Disc 1)
7189874,Tim Maia,0.99,Réu Confesso,217391,Serie Sem Limite (Disc 1)
8380077,,0.99,Gostava Tanto De Você,253805,Serie Sem Limite (Disc 2)
7593713,Miles Davis,0.99,The Pan Piper,233769,The Essential Miles Davis [Disc 1]
5031797,,0.99,Não Quero Dinheiro,152607,Serie Sem Limite (Disc 2)
5204995,,0.99,A Festa Do Santo Reis,159791,Serie Sem Limite (Disc 2)
4581685,,0.99,Padre Cícero,139598,Serie Sem Limite (Disc 2)
6890327,,0.99,Balanço,209737,Serie Sem Limite (Disc 2)
10786578,Titãs,0.99,Comida,322612,Acústico
9868187,Titãs,0.99,Os Cegos Do Castelo,296829,Acústico
7148017,Titãs,0.99,Flores,215510,Acústico
1220930,Titãs,0.99,Cabeça Dinossauro,37120,Acústico
1124909,Titãs,0.99,Homem Primata (Vinheta),34168,Acústico
5678290,Branco Mello/Carlos Barmack/Ciro Pessoa/Marcelo Fromer/Toni Belloto,0.99,Sonifera Ilha,170684,Volume Dois
7955114,Miles Davis,0.99,Jean Pierre (Live),243461,The Essential Miles Davis [Disc 2]
6243967,Sérgio Britto,0.99,Amanhã Não Se Sabe,189440,Volume Dois
9138846,Nando Reis,0.99,Eu E Ela,276035,Volume Dois
475079441,,1.99,"Exodus, Pt. 1",2621708,"Battlestar Galactica, Season 3"
528499160,,1.99,Unfinished Business,2622038,"Battlestar Galactica, Season 3"
462818231,,1.99,A Day In the Life,2620245,"Battlestar Galactica, Season 3"
515671080,,1.99,Genesis,2611986,"Heroes, Season 1"
510058181,,1.99,Nothing to Hide,2605647,"Heroes, Season 1"
537111289,,1.99,Distractions,2590382,"Heroes, Season 1"
502663995,,1.99,Adrift,2564958,"Lost, Season 2"
500330548,,1.99,...And Found,2563833,"Lost, Season 2"
6185636,,0.99,Drum Boogie,191555,Up An' Atom
535256753,,1.99,The Other 48 Days,2610625,"Lost, Season 2"
487401604,,1.99,The 23rd Psalm,2610416,"Lost, Season 2"
518376636,,1.99,The Long Con,2679583,"Lost, Season 2"
495487014,,1.99,The Whole Truth,2610125,"Lost, Season 2"
517979269,,1.99,S.O.S.,2639541,"Lost, Season 2"
208667059,,1.99,Exodus (Part 2) [Season Finale],2605557,"Lost, Season 1"
8825399,U2,0.99,The Fly,268982,Achtung Baby
9800861,"Adam Clayton, Bono, Larry Mullen, The Edge",0.99,Walk On,296280,All That You Can't Leave Behind
6392710,U2,0.99,Spanish Eyes,196702,B-Sides 1980-1990
8027028,U2,0.99,Hallelujah Here She Comes,242364,B-Sides 1980-1990
6287531,,0.99,Lemon Drop,194089,Up An' Atom
11432026,"Adam Clayton, Bono, Larry Mullen & The Edge",0.99,City Of Blinding Lights,347951,How To Dismantle An Atomic Bomb
11583042,"Bono, The Edge, Adam Clayton, and Larry Mullen",0.99,Mofo,349178,Pop
8623572,"Dylan, Bob",0.99,All Along The Watchtower,264568,Rattle And Hum
11542247,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",0.99,I Still Haven't Found What I'm Looking for,353567,Rattle And Hum
1249764,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",0.99,Freedom For My People,38164,Rattle And Hum
8806361,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",0.99,Pride (In The Name Of Love),267807,Rattle And Hum
12508716,"Bono/Clayton, Adam/Dylan, Bob/Mullen Jr., Larry/The Edge",0.99,Love Rescue Me,384522,Rattle And Hum
9867748,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",0.99,Heartland,303360,Rattle And Hum
1385810,"Hendrix, Jimi",0.99,The Star Spangled Banner,43232,Rattle And Hum
12729820,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",0.99,All I Want Is You,390243,Rattle And Hum
6697510,,0.99,Showcase,201560,Up An' Atom
8491818,U2,0.99,New Year's Day,258925,The Best Of 1980-1990
11628058,U2,0.99,Bad,351817,The Best Of 1980-1990
6071385,U2 & Daragh O'Toole,0.99,Sweetest Thing,183066,The Best Of 1980-1990
19202252,U2 & Van Dyke Parks,0.99,All I Want Is You,591986,The Best Of 1980-1990
9365379,U2,0.99,Like A Song...,287294,War
7453704,U2,0.99,Red Light,225854,War
7942573,U2; Bono,0.99,Babyface,241998,Zooropa
7247651,U2; Bono,0.99,The First Time,225697,Zooropa
6790788,,0.99,Homely Girl,203833,UB40 The Best Of - Volume Two [UK]
